Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AII","ALMONTY INDUSTRIES INC","Materials","Equity","2,094,842.43","0.11","2,094,842.43","183,797.00","11.40","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"SSAB A","SSAB A","Materials","Equity","2,086,909.24","0.11","2,086,909.24","253,684.00","8.23","Sweden","Nasdaq Omx Nordic","USD","8.86","SEK","-"
"ARI","AFRICAN RAINBOW MINERAL LTD","Materials","Equity","2,045,411.12","0.11","2,045,411.12","121,139.00","16.88","South Africa","Johannesburg Stock Exchange","USD","15.87","ZAR","-"
"5463","MARUICHI STEEL TUBE LTD","Materials","Equity","2,041,830.41","0.11","2,041,830.41","203,100.00","10.05","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"PRN","PERENTI LTD","Materials","Equity","2,030,800.30","0.11","2,030,800.30","979,685.00","2.07","Australia","Asx - All Markets","USD","1.43","AUD","-"
"601600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","2,019,215.03","0.11","2,019,215.03","894,165.00","2.26","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"600111","CHINA NORTHERN RARE EARTH (GROUP)","Materials","Equity","1,998,028.98","0.11","1,998,028.98","247,569.00","8.07","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"ILU","ILUKA RESOURCES LTD","Materials","Equity","1,936,218.59","0.10","1,936,218.59","499,847.00","3.87","Australia","Asx - All Markets","USD","1.43","AUD","-"
"ALLEI","ALLEIMA","Materials","Equity","1,921,958.59","0.10","1,921,958.59","218,918.00","8.78","Sweden","Nasdaq Omx Nordic","USD","8.86","SEK","-"
"BEKB","BEKAERT (D) SA","Materials","Equity","1,911,395.07","0.10","1,911,395.07","38,984.00","49.03","Belgium","Nyse Euronext - Euronext Brussels","USD","0.84","EUR","-"
"5471","DAIDO STEEL LTD","Materials","Equity","1,895,110.41","0.10","1,895,110.41","148,800.00","12.74","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"CIA","CHAMPION IRON LTD","Materials","Equity","1,826,125.31","0.10","1,826,125.31","431,040.00","4.24","Australia","Asx - All Markets","USD","1.43","AUD","-"
"IPX","IPERIONX LTD","Materials","Equity","1,802,919.29","0.10","1,802,919.29","336,788.00","5.35","Australia","Asx - All Markets","USD","1.43","AUD","-"
"GOAU4","METALURGICA GERDAU PREF SA","Materials","Equity","1,800,619.38","0.10","1,800,619.38","942,964.00","1.91","Brazil","XBSP","USD","5.23","BRL","-"
"TMC","TMC THE METALS COMPANY INC","Materials","Equity","1,780,117.83","0.09","1,780,117.83","237,033.00","7.51","United States","NASDAQ","USD","1.00","USD","-"
"103140","POONGSANORATION CORP","Materials","Equity","1,765,289.95","0.09","1,765,289.95","19,440.00","90.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,426.10","KRW","-"
"FOM","FORAN MINING CORP","Materials","Equity","1,735,415.88","0.09","1,735,415.88","331,330.00","5.24","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"QAMC","QATAR ALUMINIUM MANUFACTURING","Materials","Equity","1,707,706.44","0.09","1,707,706.44","3,296,797.00","0.52","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"NIC","NICKEL INDUSTRIES LTD","Materials","Equity","1,707,751.35","0.09","1,707,751.35","2,522,485.00","0.68","Australia","Asx - All Markets","USD","1.43","AUD","-"
"LIF","LABRADOR IRON ORE ROYALTY CORP","Materials","Equity","1,653,780.27","0.09","1,653,780.27","74,084.00","22.32","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"ATYM","ATALAYA MINING COPPER SA","Materials","Equity","1,634,238.66","0.09","1,634,238.66","114,382.00","14.29","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"IMD","IMDEX LTD","Materials","Equity","1,606,401.85","0.08","1,606,401.85","591,671.00","2.72","Australia","Asx - All Markets","USD","1.43","AUD","-"
"600019","BAOSHAN IRON & STEEL LTD A","Materials","Equity","1,581,292.43","0.08","1,581,292.43","1,491,693.00","1.06","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"ALS","ALTIUS MINERALS CORP","Materials","Equity","1,573,115.97","0.08","1,573,115.97","46,307.00","33.97","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"DRR","DETERRA ROYALTIES LTD","Materials","Equity","1,557,594.91","0.08","1,557,594.91","507,198.00","3.07","Australia","Asx - All Markets","USD","1.43","AUD","-"
"PTRO","PETROSEA","Materials","Equity","1,556,471.12","0.08","1,556,471.12","3,475,600.00","0.45","Indonesia","Indonesia Stock Exchange","USD","16,747.50","IDR","-"
"AMG","AMG CRITICAL MATERIALS NV","Materials","Equity","1,553,468.51","0.08","1,553,468.51","35,834.00","43.35","Netherlands","Euronext Amsterdam","USD","0.84","EUR","-"
"WS","WORTHINGTON STEEL INC","Materials","Equity","1,511,808.10","0.08","1,511,808.10","37,654.00","40.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SZG","SALZGITTER AG","Materials","Equity","1,511,337.48","0.08","1,511,337.48","27,856.00","54.26","Germany","Xetra","USD","0.84","EUR","-"
"600362","JIANGXI COPPER LTD A","Materials","Equity","1,446,670.33","0.08","1,446,670.33","142,725.00","10.14","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL SA","Materials","Equity","1,404,316.89","0.07","1,404,316.89","698,374.00","2.01","Brazil","XBSP","USD","5.23","BRL","-"
"LAC","LITHIUM AMERICAS CORP","Materials","Equity","1,394,672.83","0.07","1,394,672.83","258,625.00","5.39","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"BRAP4","BRADESPAR PREF SA","Materials","Equity","1,374,869.98","0.07","1,374,869.98","292,273.00","4.70","Brazil","XBSP","USD","5.23","BRL","-"
"1322","AL MASANE AL KOBRA MINING","Materials","Equity","1,301,009.68","0.07","1,301,009.68","41,776.00","31.14","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"VUL","VULCAN ENERGY RESOURCES LTD","Materials","Equity","1,272,685.14","0.07","1,272,685.14","437,281.00","2.91","Australia","Asx - All Markets","USD","1.43","AUD","-"
"000807","YUNNAN ALUMINIUM LTD A","Materials","Equity","1,258,630.12","0.07","1,258,630.12","236,500.00","5.32","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"600010","INNER MONGOLIA BAOTOU STEEL UNION","Materials","Equity","1,196,378.85","0.06","1,196,378.85","3,103,621.00","0.39","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"CNL","COLLECTIVE MINING LTD","Materials","Equity","1,192,044.66","0.06","1,192,044.66","64,173.00","18.58","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"DVP","DEVELOP GLOBAL LTD","Materials","Equity","1,179,325.06","0.06","1,179,325.06","303,357.00","3.89","Australia","Asx - All Markets","USD","1.43","AUD","-"
"PTCIL","PTC INDUSTRIES LTD","Materials","Equity","1,171,812.66","0.06","1,171,812.66","5,867.00","199.73","India","National Stock Exchange Of India","USD","91.96","INR","-"
"5703","NIPPON LIGHT METAL HOLDINGS LTD","Materials","Equity","1,167,045.77","0.06","1,167,045.77","63,340.00","18.43","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"USAR","USA RARE EARTH INC CLASS A","Materials","Equity","1,166,907.11","0.06","1,166,907.11","52,873.00","22.07","United States","NASDAQ","USD","1.00","USD","-"
"1515","NITTETSU MINING LTD","Materials","Equity","1,151,899.11","0.06","1,151,899.11","48,700.00","23.65","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"000630","TONGLING NONFERROUS METALS GROUP L","Materials","Equity","1,147,097.70","0.06","1,147,097.70","867,800.00","1.32","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"2006","TUNG HO STEEL ENTERPRISE CORP","Materials","Equity","1,138,097.69","0.06","1,138,097.69","502,700.00","2.26","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"UAMY","UNITED STATES ANTIMONY CORP","Materials","Equity","1,136,575.58","0.06","1,136,575.58","137,102.00","8.29","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"000426","INNER MONGOLIA XINGYE SILVER&TIN M","Materials","Equity","1,118,947.13","0.06","1,118,947.13","113,800.00","9.83","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"SLS","SOLARIS RESOURCES INC","Materials","Equity","1,115,339.12","0.06","1,115,339.12","104,485.00","10.67","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"000975","SHANJIN INTERNATIONAL GOLD LTD A","Materials","Equity","1,080,944.63","0.06","1,080,944.63","194,140.00","5.57","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"MDI","MAJOR DRILLING GROUP INTERNATIONAL","Materials","Equity","1,072,557.80","0.06","1,072,557.80","92,842.00","11.55","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"CMP","COMPASS MINERALS INTERNATIONAL INC","Materials","Equity","1,070,421.03","0.06","1,070,421.03","41,441.00","25.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"5451","YODOKO LTD","Materials","Equity","1,061,529.10","0.06","1,061,529.10","114,900.00","9.24","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"3858","JIAXIN INTERNATIONAL RESOURCES INV","Materials","Equity","1,022,759.25","0.05","1,022,759.25","96,400.00","10.61","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"639","SHOUGANG FUSHAN RESOURCES GROUP LT","Materials","Equity","971,823.23","0.05","971,823.23","2,264,000.00","0.43","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"2015","FENG HSIN IRON & STEEL LTD","Materials","Equity","967,483.54","0.05","967,483.54","461,918.00","2.09","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"SGML","SIGMA LITHIUM CORP","Materials","Equity","962,541.01","0.05","962,541.01","75,731.00","12.71","Brazil","NASDAQ","USD","1.00","USD","-"
"600219","SHANDONG NANSHAN ALUMINIUM LTD A","Materials","Equity","943,803.70","0.05","943,803.70","804,130.00","1.17","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"601168","WESTERN MINING LTD A","Materials","Equity","934,081.76","0.05","934,081.76","164,200.00","5.69","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
